Trade Date,CZ,HU,PL
2021-07-28,,,
2021-07-27,799.82,1607.78,859.35
2021-07-26,794.52,1588.86,862.26
2021-07-23,791.77,1609.93,863.07
2021-07-22,797.99,1633.68,862.04
2021-07-21,791.02,1629.55,862.41
2021-07-20,786.85,1623.89,847.88
2021-07-19,777.61,1620.33,845.93
2021-07-16,801.71,1643.84,871.2
2021-07-15,802.15,1631.71,874.09
2021-07-14,803.49,1610.91,878.68
2021-07-13,799.19,1634.58,878.1
2021-07-12,802.71,1663.02,880.98
2021-07-09,798.86,1677.46,883.5
2021-07-08,790.4,1635.17,873.7
2021-07-07,793.04,1633.06,891.15
2021-07-06,796.24,1655.29,880.23
2021-07-05,800.64,1668.31,896.76
2021-07-02,799.14,1671.7,892.08
2021-07-01,793.23,1693.2,892.82
2021-06-30,822.04,1667.79,882.23
2021-06-29,823.76,1696.77,904.66
2021-06-28,823.94,1720.42,924.02
2021-06-25,823.6,1737.13,921.34
2021-06-24,823.77,1732.92,915.45
2021-06-23,827.48,1737.21,903.7
2021-06-22,821.22,1708.28,897.16
2021-06-21,821.69,1708.02,892.42
2021-06-18,815.7,1677.33,883.28
2021-06-17,819.89,1726.09,889.5
2021-06-16,833.84,1754.19,914.42
2021-06-15,842.19,1781.66,914.42
2021-06-14,846.07,1774.69,927.82
2021-06-11,848.13,1782.73,921.08
2021-06-10,854.12,1795.98,933.81
2021-06-09,855.8,1788.79,926.61
2021-06-08,850.18,1793.62,934.61
2021-06-07,850.74,1787.42,939.24
2021-06-04,853.01,1778.36,943.32
2021-06-03,844.08,1743.24,938.01
2021-06-02,848.56,1730.62,944.24
2021-06-01,852.61,1736.03,936.35
2021-05-31,838.79,1713.83,933.89
2021-05-28,832.95,1702.04,930.41
2021-05-27,834.21,1688.23,918.15
2021-05-26,838.0,1703.51,898.99
2021-05-25,842.96,1684.69,897.44
2021-05-24,833.19,1712.73,890.05
2021-05-21,826.68,1700.87,885.24
2021-05-20,818.03,1694.0,882.91
2021-05-19,809.47,1643.59,869.28
2021-05-18,816.32,1670.85,879.14
2021-05-17,798.28,1652.1,869.35
2021-05-14,791.17,1608.73,857.45
2021-05-13,782.23,1575.89,852.82
2021-05-12,779.03,1540.63,852.39
2021-05-11,784.23,1552.03,864.12
2021-05-10,787.21,1558.7,861.49
2021-05-07,781.13,1544.82,852.75
2021-05-06,759.95,1549.98,826.78
2021-05-05,761.72,1526.81,819.91
2021-05-04,760.4,1515.23,807.4
2021-05-03,770.16,1484.04,821.8
2021-04-30,763.85,1480.05,816.69
2021-04-29,769.73,1502.53,826.78
2021-04-28,768.82,1486.37,813.99
2021-04-27,759.75,1477.51,803.27
2021-04-26,760.44,1471.59,807.55
2021-04-23,757.52,1448.25,797.63
2021-04-22,762.62,1445.72,797.5
2021-04-21,763.2,1446.48,796.0
2021-04-20,760.91,1453.85,800.91
2021-04-19,766.74,1443.41,803.5
2021-04-16,764.47,1456.44,805.76
2021-04-15,753.73,1448.97,805.37
2021-04-14,751.37,1443.41,801.29
2021-04-13,754.69,1446.51,785.47
2021-04-12,742.22,1467.77,793.07
2021-04-09,736.01,1483.52,785.88
2021-04-08,738.78,1499.78,789.75
2021-04-07,737.72,1504.68,792.35
2021-04-06,727.72,1487.71,787.91
2021-04-05,730.02,1481.32,765.12
2021-04-02,725.66,1472.06,762.38
2021-04-01,725.66,1472.06,762.38
2021-03-31,725.63,1460.91,747.9
2021-03-30,727.01,1467.09,747.22
2021-03-29,725.15,1474.16,754.84
2021-03-26,725.98,1468.13,746.26
2021-03-25,714.02,1459.48,727.47
2021-03-24,713.76,1470.6,741.23
2021-03-23,720.34,1443.77,753.89
2021-03-22,724.05,1461.03,760.32
2021-03-19,723.08,1460.27,752.88
2021-03-18,729.97,1474.5,765.84
2021-03-17,719.77,1440.42,758.58
2021-03-16,717.77,1466.56,773.43
2021-03-15,719.7,1449.1,783.15
2021-03-12,721.26,1454.31,786.12
2021-03-11,723.85,1472.89,782.3
2021-03-10,711.23,1448.64,782.91
2021-03-09,707.12,1433.82,778.2
2021-03-08,699.03,1434.67,763.37
2021-03-05,701.27,1435.61,757.65
2021-03-04,710.13,1449.86,775.36
2021-03-03,713.87,1483.0,776.53
2021-03-02,719.67,1507.07,782.9
2021-03-01,720.11,1520.35,782.21
2021-02-26,723.4,1505.54,771.72
2021-02-25,727.53,1522.81,790.73
2021-02-24,716.7,1484.33,784.5
2021-02-23,720.44,1482.13,780.53
2021-02-22,715.82,1498.89,794.87
2021-02-19,722.21,1521.86,805.88
2021-02-18,722.56,1509.98,799.09
2021-02-17,723.36,1522.62,798.46
2021-02-16,737.98,1549.28,811.49
2021-02-15,742.69,1515.57,801.78
2021-02-12,734.4,1493.79,782.52
2021-02-11,728.23,1513.31,790.63
2021-02-10,731.43,1521.26,780.64
2021-02-09,731.95,1534.96,786.59
2021-02-08,729.35,1521.78,788.75
2021-02-05,729.24,1521.34,785.43
2021-02-04,711.67,1526.31,768.33
2021-02-03,710.32,1530.28,777.02
2021-02-02,709.61,1535.14,782.83
2021-02-01,704.81,1523.59,786.62
2021-01-29,701.57,1518.66,780.41
2021-01-28,703.73,1507.38,794.18
2021-01-27,705.17,1478.93,767.6
2021-01-26,721.12,1506.71,788.34
2021-01-25,720.42,1497.8,776.93
2021-01-22,700.48,1521.86,779.6
2021-01-21,705.78,1547.16,778.31
2021-01-20,719.49,1536.76,788.26
2021-01-19,720.67,1556.76,787.77
2021-01-18,720.17,1546.09,797.34
2021-01-15,718.82,1521.16,781.6
2021-01-14,728.3,1554.75,800.02
2021-01-13,729.41,1549.76,796.58
2021-01-12,731.12,1545.76,805.2
2021-01-11,725.22,1552.35,814.55
2021-01-08,732.66,1554.57,824.42
2021-01-07,711.43,1537.04,822.22
2021-01-06,701.54,1516.89,793.26
2021-01-05,698.23,1496.07,790.78
2021-01-04,695.26,1481.23,791.09
2021-01-01,688.63,1458.65,774.52
2020-12-31,688.63,1458.65,774.52
2020-12-30,692.2,1456.82,771.19
2020-12-29,692.08,1438.06,788.8
2020-12-28,685.03,1432.67,790.29
2020-12-25,671.2,1423.87,766.28
2020-12-24,671.2,1423.87,766.28
2020-12-23,669.42,1427.51,765.78
2020-12-22,661.16,1421.13,754.72
2020-12-21,655.11,1414.35,745.23
2020-12-18,676.29,1474.61,771.55
2020-12-17,674.03,1499.91,790.01
2020-12-16,656.66,1483.07,790.05
2020-12-15,638.41,1475.79,775.3
2020-12-14,637.7,1479.82,767.99
2020-12-11,631.41,1453.78,776.68
2020-12-10,640.47,1447.37,796.8
2020-12-09,643.48,1417.82,802.41
2020-12-08,637.74,1369.61,786.91
2020-12-07,630.73,1348.87,785.94
2020-12-04,627.9,1354.88,782.12
2020-12-03,624.99,1345.95,758.33
2020-12-02,622.11,1342.35,753.0
2020-12-01,623.04,1333.41,736.7
2020-11-30,616.5,1318.34,718.94
2020-11-27,625.89,1323.8,728.01
2020-11-26,622.02,1312.49,726.78
2020-11-25,622.83,1309.82,727.99
2020-11-24,616.57,1301.29,717.99
2020-11-23,614.88,1279.97,713.78
2020-11-20,607.46,1289.01,711.39
2020-11-19,601.62,1289.64,703.44
2020-11-18,611.29,1295.5,720.47
2020-11-17,603.14,1260.1,707.41
2020-11-16,603.16,1267.12,704.5
2020-11-13,585.42,1274.72,679.82
2020-11-12,587.73,1301.84,687.13
2020-11-11,585.32,1306.52,683.41
2020-11-10,583.53,1284.31,685.83
2020-11-09,579.36,1243.03,673.54
2020-11-06,555.2,1205.1,643.03
2020-11-05,553.5,1194.6,632.01
2020-11-04,536.11,1154.27,611.65
2020-11-03,533.31,1120.51,612.63
2020-11-02,517.93,1073.35,569.0
2020-10-30,508.04,1040.1,554.97
2020-10-29,508.24,1031.31,560.46
2020-10-28,521.22,1040.05,565.56
2020-10-27,526.5,1086.25,600.48
2020-10-26,519.81,1083.43,605.9
2020-10-23,518.49,1101.81,615.6
2020-10-22,516.21,1104.92,619.45
2020-10-21,522.28,1113.78,623.05
2020-10-20,525.29,1104.94,627.32
2020-10-19,517.41,1089.57,621.46
2020-10-16,514.73,1072.72,626.45
2020-10-15,505.61,1062.04,614.79
2020-10-14,516.18,1089.74,644.5
2020-10-13,512.59,1088.96,643.46
2020-10-12,520.65,1100.61,655.65
2020-10-09,527.24,1120.93,664.52
2020-10-08,525.05,1115.44,665.41
2020-10-07,528.05,1109.94,673.47
2020-10-06,529.99,1111.6,674.82
2020-10-05,520.26,1101.4,673.59
2020-10-02,514.36,1098.87,655.07
2020-10-01,521.6,1101.55,658.48
2020-09-30,516.07,1058.43,656.73
2020-09-29,512.87,1045.58,660.99
2020-09-28,506.36,1054.96,654.43
2020-09-25,505.92,1014.77,633.53
2020-09-24,506.86,1013.54,629.59
2020-09-23,514.39,1031.22,645.67
2020-09-22,520.73,1037.07,652.42
2020-09-21,515.49,1044.92,649.7
2020-09-18,534.54,1114.29,681.18
2020-09-17,536.39,1121.73,682.87
2020-09-16,543.64,1136.73,682.74
2020-09-15,544.25,1150.8,685.05
2020-09-14,548.56,1182.04,694.24
2020-09-11,549.31,1169.92,696.67
2020-09-10,551.9,1172.0,695.49
2020-09-09,547.88,1173.98,697.51
2020-09-08,550.82,1158.78,680.13
2020-09-07,554.91,1155.29,699.68
2020-09-04,551.67,1140.78,686.68
2020-09-03,556.48,1151.64,698.78
2020-09-02,558.4,1141.46,708.39
2020-09-01,570.37,1159.36,714.76
2020-08-31,569.83,1173.74,726.0
2020-08-28,573.18,1175.5,732.64
2020-08-27,563.06,1178.59,727.91
2020-08-26,569.09,1200.88,728.29
2020-08-25,570.03,1202.21,721.34
2020-08-24,569.3,1220.35,729.0
2020-08-21,567.99,1221.83,715.8
2020-08-20,568.23,1232.92,722.54
2020-08-19,576.07,1240.64,728.8
2020-08-18,583.66,1250.0,737.26
2020-08-17,586.39,1259.49,737.02
2020-08-14,583.83,1267.41,731.91
2020-08-13,580.31,1277.07,734.9
2020-08-12,588.64,1274.88,731.11
2020-08-11,581.74,1254.24,726.0
2020-08-10,574.62,1252.14,717.04
2020-08-07,568.54,1231.34,716.33
2020-08-06,571.73,1220.99,719.83
2020-08-05,573.72,1215.69,728.99
2020-08-04,555.55,1177.06,713.74
2020-08-03,550.03,1187.8,707.54
2020-07-31,545.58,1204.16,697.69
2020-07-30,546.91,1202.89,693.72
2020-07-29,558.98,1213.48,715.05
2020-07-28,561.06,1206.0,713.82
2020-07-27,569.09,1222.39,722.26
2020-07-24,563.46,1204.83,702.53
2020-07-23,569.85,1218.17,705.45
2020-07-22,572.08,1204.74,706.45
2020-07-21,571.66,1187.04,703.38
2020-07-20,564.87,1160.49,695.02
2020-07-17,560.5,1159.03,673.4
2020-07-16,560.89,1159.01,675.18
2020-07-15,556.53,1163.72,673.5
2020-07-14,554.23,1148.99,663.63
2020-07-13,559.19,1160.4,671.37
2020-07-10,555.22,1160.73,670.41
2020-07-09,558.25,1162.98,666.14
2020-07-08,559.1,1167.96,665.34
2020-07-07,552.89,1160.01,669.16
2020-07-06,561.75,1196.76,679.86
2020-07-03,557.97,1159.08,669.33
2020-07-02,559.43,1174.65,669.49
2020-07-01,561.7,1150.95,658.67
2020-06-30,560.04,1158.47,655.87
2020-06-29,560.92,1184.72,658.84
2020-06-26,552.6,1171.91,651.58
2020-06-25,551.13,1200.51,665.51
2020-06-24,562.49,1223.52,667.75
2020-06-23,571.42,1250.96,686.34
2020-06-22,564.05,1234.85,672.94
2020-06-19,558.54,1229.95,666.85
2020-06-18,560.75,1239.09,667.86
2020-06-17,568.09,1257.45,664.35
2020-06-16,572.17,1268.12,668.86
2020-06-15,561.9,1238.53,654.27
2020-06-12,564.03,1238.66,667.17
2020-06-11,557.65,1224.73,690.52
2020-06-10,579.84,1259.62,690.08
2020-06-09,585.66,1277.14,689.09
2020-06-08,589.16,1280.42,689.65
2020-06-05,586.21,1275.92,691.81
2020-06-04,568.97,1253.25,677.74
2020-06-03,559.89,1245.37,664.01
2020-06-02,546.01,1185.02,654.94
2020-06-01,531.54,1168.61,647.0
2020-05-29,523.35,1162.93,633.96
2020-05-28,520.95,1166.91,631.18
2020-05-27,512.58,1152.5,623.38
2020-05-26,510.09,1141.83,626.11
2020-05-25,499.82,1091.57,589.16
2020-05-22,493.29,1090.09,581.45
2020-05-21,500.12,1111.49,585.92
2020-05-20,500.4,1114.97,591.61
2020-05-19,489.39,1101.04,582.65
2020-05-18,489.21,1079.23,575.22
2020-05-15,479.06,1024.7,551.1
2020-05-14,480.35,1029.77,553.72
2020-05-13,494.36,1044.26,566.58
2020-05-12,503.71,1083.3,572.66
2020-05-11,492.13,1072.48,558.43
2020-05-08,499.86,1075.22,568.83
2020-05-07,493.81,1058.23,555.44
2020-05-06,495.21,1056.47,550.94
2020-05-05,501.77,1067.51,566.23
2020-05-04,496.12,1060.71,566.85
2020-05-01,504.21,1090.55,587.27
2020-04-30,504.35,1094.24,587.83
2020-04-29,502.7,1054.85,582.15
2020-04-28,497.55,1007.55,562.79
2020-04-27,493.95,993.73,565.72
2020-04-24,491.51,983.15,565.86
2020-04-23,491.56,979.02,574.83
2020-04-22,479.09,961.57,566.34
2020-04-21,482.05,952.41,557.36
2020-04-20,495.54,1002.63,581.59
2020-04-17,505.75,1010.25,578.59
2020-04-16,502.0,975.11,563.22
2020-04-15,507.75,999.73,568.79
2020-04-14,526.93,1049.38,592.87
2020-04-13,512.88,1030.83,566.82
2020-04-10,516.32,1036.02,572.71
2020-04-09,516.32,1036.02,572.71
2020-04-08,495.24,988.1,556.35
2020-04-07,492.3,986.93,564.29
2020-04-06,467.04,970.35,548.37
2020-04-03,444.94,961.1,523.77
2020-04-02,451.31,978.02,521.3
2020-04-01,447.31,976.94,519.87
2020-03-31,454.23,1023.09,533.64
2020-03-30,450.52,1002.55,525.31
2020-03-27,461.06,1018.89,529.77
2020-03-26,479.92,1058.98,530.36
2020-03-25,472.77,1024.79,501.46
2020-03-24,461.72,1010.9,498.71
2020-03-23,431.09,955.17,481.69
2020-03-20,437.76,959.48,514.59
